_RAJ2000	_DEJ2000	HD	DM	GC	HR	HIP	RAJ2000	DEJ2000	Vmag	Fl	Bayer	Cst
160.8846250	-60.5666389	 93070	CP-59  2532 	14762	4200	 52468	10 43 32.31	-60 33 59.9	 4.58	   	w    	Car
161.4995000	+56.9208056	 93075	BD+57  1290 	14793	    	 52650	10 45 59.88	+56 55 14.9	 7.22	 40	     	UMa
161.2895000	 +2.4880278	 93102	BD+03  2408 	14789	4201	 52584	10 45 09.48	+02 29 16.9	 6.27	 36	     	Sex
161.5939167	+57.3660556	 93132	BD+58  1281 	14802	4202	 52685	10 46 22.54	+57 21 57.8	 6.34	 41	     	UMa
161.4662917	+30.6823889	 93152	BD+31  2180 	14798	4203	 52638	10 45 51.91	+30 40 56.6	 5.36	 42	     	LMi
161.5236667	 +6.3732778	 93244	BD+07  2356 	14805	4207	 52660	10 46 05.68	+06 22 23.8	 6.38	 37	     	Sex
161.6020417	+18.8916111	 93257	BD+19  2371 	14813	4208	 52686	10 46 24.49	+18 53 29.8	 5.50	 51	m    	Leo
161.6056250	+14.1948056	 93291	BD+14  2294 	14814	4209	 52689	10 46 25.35	+14 11 41.3	 5.49	 52	k    	Leo
161.2650000	-59.6841667	 93308	CP-59  2620 	14799	4210	      	10 45 03.60	-59 41 03.0	 6.21	   	eta  	Car
161.7169167	-17.2968333	 93397	BD-16  3124 	14835	4214	 52737	10 46 52.06	-17 17 48.6	 5.44	   	b01  	Hya
161.6921667	-49.4201389	 93497	CD-48  5913 	14842	4216	 52727	10 46 46.12	-49 25 12.5	 2.69	   	mu.  	Vel
162.2386667	+29.4161389	 93636	BD+30  2072 	14879	4223	 52882	10 48 57.28	+29 24 58.1	 6.15	 43	     	LMi
162.3142917	+10.5452500	 93702	BD+11  2283 	14889	4227	 52911	10 49 15.43	+10 32 42.9	 5.32	 53	l    	Leo
162.3220833	 -4.0239167	 93742	BD-03  2999 	14891	4229	 52913	10 49 17.30	-04 01 26.1	 6.61	 40	     	Sex
162.4738750	+27.9738611	 93765	BD+28  1931 	14897	4230	 52959	10 49 53.73	+27 58 25.9	 6.05	 44	     	LMi
161.3182500	-80.4695278	 93779	CP-79   554 	14848	4231	 52595	10 45 16.38	-80 28 10.3	 5.46	   	del01	Cha
162.4059583	-16.1941389	 93813	BD-15  3138 	14898	4232	 52943	10 49 37.43	-16 11 38.9	 3.11	   	nu.  	Hya
161.4464167	-80.5401944	 93845	CP-79   556 	14863	4234	 52633	10 45 47.14	-80 32 24.7	 4.45	   	del02	Cha
162.7961667	+56.5822500	 93859	BD+57  1294 	14910	4235	 53043	10 51 11.08	+56 34 56.1	 5.66	 43	     	UMa
162.8490000	+59.3202500	 93875	BD+60  1296 	14912	4236	 53064	10 51 23.76	+59 19 12.9	 5.57	 42	     	UMa
162.5752500	 -8.8977222	 93903	BD-08  3018 	14906	4237	 52980	10 50 18.06	-08 53 51.8	 5.80	 41	     	Sex
163.3938333	+54.5851389	 94247	BD+55  1418 	14962	4246	 53261	10 53 34.52	+54 35 06.5	 5.12	 44	     	UMa
163.3276667	+34.2155556	 94264	BD+34  2172 	14961	4247	 53229	10 53 18.64	+34 12 56.0	 3.79	 46	     	LMi
163.4946250	+43.1900278	 94334	BD+43  2058 	14974	4248	 53295	10 53 58.71	+43 11 24.1	 4.66	 45	ome  	UMa
163.3728333	-20.1381389	 94388	BD-19  3125 	14971	4251	 53252	10 53 29.48	-20 08 17.3	 5.23	   	b03  	Hya
163.4323333	 -2.1292500	 94402	BD-01  2460 	14975	4253	 53273	10 53 43.76	-02 07 45.3	 5.45	   	p01  	Leo
163.6758333	+25.4907222	 94480	BD+26  2147 	14999	4254	 53355	10 54 42.20	+25 29 26.6	 6.19	 48	     	LMi
163.7425833	+34.0349167	 94497	BD+34  2178 	15006	4256	 53377	10 54 58.22	+34 02 05.7	 5.73	 47	     	LMi
163.3732083	-58.8532778	 94510	CP-58  2834 	14980	4257	 53253	10 53 29.57	-58 51 11.8	 3.78	   	u    	Car
163.9352500	+33.5070000	 94600	BD+34  2181 	15018	4258	 53426	10 55 44.46	+33 30 25.2	 5.02	 46	     	UMa
163.9035417	+24.7497500	 94601	BD+25  2314A	15016	4259	 53417	10 55 36.85	+24 44 59.1	 4.30	 54	     	Leo
163.9054167	+24.7488889	 94602	BD+25  2314B	15017	4260	      	10 55 37.30	+24 44 56.0	 6.30	 54	     	Leo
163.9264167	 +0.7369444	 94672	BD+01  2501 	15022	4265	 53423	10 55 42.34	+00 44 13.0	 5.91	 55	     	Leo
164.0061667	 +6.1853889	 94705	BD+06  2369 	15032	4267	 53449	10 56 01.48	+06 11 07.4	 5.91	 56	     	Leo
164.1435000	+25.5002500	 94747	BD+26  2152 	15039	4270	 53492	10 56 34.44	+25 30 00.9	 6.36	 50	     	LMi
163.8219167	-60.5171944	 94776	CP-59  2840 	15026	4271	 53394	10 55 17.26	-60 31 01.9	 5.93	   	T    	Car
164.1791667	-37.1374722	 94890	CD-36  6808 	15047	4273	 53502	10 56 43.00	-37 08 14.9	 4.60	   	iot  	Ant
164.8675833	+40.4301111	 95128	BD+41  2147 	15087	4277	 53721	10 59 28.22	+40 25 48.4	 5.03	 47	     	UMa
164.9447917	-18.2991111	 95272	BD-17  3273 	15106	4287	 53740	10 59 46.75	-18 17 56.8	 4.08	  7	alf  	Crt
165.2103333	+39.2121389	 95310	BD+39  2400 	15128	4288	 53838	11 00 50.48	+39 12 43.7	 5.06	 49	     	UMa
165.1401667	 +3.6175278	 95345	BD+04  2407 	15125	4291	 53807	11 00 33.64	+03 37 03.1	 4.84	 58	d    	Leo
165.0385417	-42.2258611	 95370	CD-41  6276 	15118	4293	 53773	11 00 09.25	-42 13 33.1	 4.37	   	i    	Vel
165.1867917	 +6.1015000	 95382	BD+06  2384 	15130	4294	 53824	11 00 44.83	+06 06 05.4	 4.98	 59	c    	Leo
165.4599583	+56.3823333	 95418	BD+57  1302 	15145	4295	 53910	11 01 50.39	+56 22 56.4	 2.34	 48	bet  	UMa
165.4569583	 -2.4845000	 95578	BD-01  2471 	15151	4299	 53907	11 01 49.67	-02 29 04.2	 4.73	 61	p02  	Leo
165.5824167	+20.1797500	 95608	BD+20  2547 	15162	4300	 53954	11 02 19.78	+20 10 47.1	 4.42	 60	b    	Leo
165.9326667	+61.7511111	 95689	BD+62  1161 	15185	4301	 54061	11 03 43.84	+61 45 04.0	 1.81	 50	alf  	UMa
165.9026250	 -0.0008333	 95849	BD+00  2729 	15195	4306	 54049	11 03 36.63	-00 00 03.0	 5.95	 62	p03  	Leo
166.1303333	+38.2413611	 95934	BD+39  2414 	15215	4309	 54136	11 04 31.28	+38 14 28.9	 6.01	 51	     	UMa
166.3144167	+25.2018889	 96094	BD+25  2335 	15239	    	 54196	11 05 15.46	+25 12 06.8	 7.80	 51	     	LMi
166.2551250	 +7.3361111	 96097	BD+08  2455 	15235	4310	 54182	11 05 01.23	+07 20 10.0	 4.62	 63	chi  	Leo
164.8090000	-84.5938611	 96124	CP-83   386 	15164	4312	 53702	10 59 14.16	-84 35 37.9	 6.19	   	eta  	Oct
166.3334583	-27.2935833	 96202	CD-26  8338 	15248	4314	 54204	11 05 20.03	-27 17 36.9	 4.92	   	chi01	Hya
166.4897917	-27.2878056	 96314	CD-26  8342 	15260	4317	 54255	11 05 57.55	-27 17 16.1	 5.69	   	chi02	Hya
166.7704583	+25.5371667	 96418	BD+26  2176 	15284	    	 54347	11 07 04.91	+25 32 13.8	 6.86	 52	     	LMi
166.7267917	 +1.9557222	 96436	BD+02  2387 	15282	4319	 54336	11 06 54.43	+01 57 20.6	 5.52	 65	p04  	Leo
166.9155000	+23.3237500	 96528	BD+24  2318 	15302	4322	 54388	11 07 39.72	+23 19 25.5	 6.48	 64	     	Leo
166.6352917	-62.4241389	 96566	CP-61  2067 	15288	4325	 54301	11 06 32.47	-62 25 26.9	 4.62	   	z    	Car
167.2045000	+24.6584444	 96738	BD+25  2344 	15319	4332	 54487	11 08 49.08	+24 39 30.4	 5.70	 67	     	Leo
167.4160833	+44.4985556	 96833	BD+45  1897 	15340	4335	 54539	11 09 39.86	+44 29 54.8	 3.00	 52	psi  	UMa
167.1475000	-58.9750556	 96918	CP-58  3189 	15329	4337	 54463	11 08 35.40	-58 58 30.2	 3.93	   	x    	Car
167.1417083	-61.9471667	 96919	CP-61  2075 	15331	4338	 54461	11 08 34.01	-61 56 49.8	 5.11	   	z02  	Car
167.9145417	-22.8256111	 97277	BD-22  3095 	15385	4343	 54682	11 11 39.49	-22 49 32.2	 4.46	 11	bet  	Crt
168.1265833	-18.4998056	 97411	BD-17  3321 	15405	4347	 54742	11 12 30.38	-18 29 59.3	 6.11	   	psi  	Crt
168.1500833	-60.3176389	 97534	CP-59  3190 	15415	4352	 54751	11 12 36.02	-60 19 03.5	 4.59	   	y    	Car
168.4399167	 -0.0695000	 97585	BD+00  2761 	15430	4356	 54849	11 13 45.58	-00 04 10.2	 5.40	 69	p05  	Leo
168.5267083	+20.5240278	 97603	BD+21  2298 	15438	4357	 54872	11 14 06.41	+20 31 26.5	 2.56	 68	del  	Leo
168.5601667	+15.4297500	 97633	BD+16  2234 	15441	4359	 54879	11 14 14.44	+15 25 47.1	 3.33	 70	the  	Leo
168.8010000	+23.0955278	 97778	BD+23  2322 	15460	4362	 54951	11 15 12.24	+23 05 43.9	 4.56	 72	     	Leo
168.9662500	+13.3075833	 97907	BD+14  2367 	15487	4365	 55016	11 15 51.90	+13 18 27.3	 5.31	 73	n    	Leo
169.1656667	 -3.6515278	 98058	BD-02  3315 	15511	4368	 55084	11 16 39.76	-03 39 05.5	 4.45	 74	phi  	Leo
169.3223750	 +2.0109167	 98118	BD+02  2409 	15520	4371	 55137	11 17 17.37	+02 00 39.3	 5.18	 75	     	Leo
169.5468333	+31.5307778	 98230	BD+32  2132B	15537	4374	 55203	11 18 11.24	+31 31 50.8	 3.79	 53	ksi  	UMa
169.5458333	+31.5291667	 98231	BD+32  2132A	     	4375	      	11 18 11.00	+31 31 45.0	 4.41	 53	ksi  	UMa
169.6198333	+33.0942500	 98262	BD+33  2098 	15547	4377	 55219	11 18 28.76	+33 05 39.3	 3.49	 54	nu.  	UMa
169.7830833	+38.1857222	 98353	BD+38  2225 	15558	4380	 55266	11 19 07.94	+38 11 08.6	 4.76	 55	     	UMa
169.7290833	 +1.6505278	 98366	BD+02  2411 	15556	4381	 55249	11 18 54.98	+01 39 01.9	 5.90	 76	     	Leo
169.8355000	-14.7790556	 98430	BD-13  3345 	15567	4382	 55282	11 19 20.52	-14 46 44.6	 3.56	 12	del  	Crt
170.2843750	 +6.0293611	 98664	BD+06  2437 	15600	4386	 55434	11 21 08.25	+06 01 45.7	 4.05	 77	sig  	Leo
170.2518333	-54.4910278	 98718	CP-53  4498 	15601	4390	 55425	11 21 00.44	-54 29 27.7	 3.90	   	pi.  	Cen
170.6207083	+17.4369444	 98824	BD+18  2481 	15618	    	 55533	11 22 28.97	+17 26 13.0	 7.31	 71	     	Leo
170.7067083	+43.4827500	 98839	BD+44  2083 	15625	4392	 55560	11 22 49.61	+43 28 57.9	 4.99	 56	     	UMa
170.8419583	-18.7798889	 98991	BD-17  3367 	15644	4395	 55598	11 23 22.07	-18 46 47.6	 5.08	 13	lam  	Crt
170.9807083	+10.5296944	 99028	BD+11  2348 	15652	4399	 55642	11 23 55.37	+10 31 46.9	 4.00	 78	iot  	Leo
171.0097500	 +1.4077500	 99055	BD+02  2418 	15656	4400	 55650	11 24 02.34	+01 24 27.9	 5.39	 79	     	Leo
171.1525417	-10.8593889	 99167	BD-10  3260 	15665	4402	 55687	11 24 36.61	-10 51 33.8	 4.81	 14	eps  	Crt
171.2207500	-17.6840278	 99211	BD-16  3244 	15669	4405	 55705	11 24 52.98	-17 41 02.5	 4.06	 15	gam  	Crt
171.4019167	+16.4565556	 99285	BD+17  2356 	15677	4408	 55765	11 25 36.46	+16 27 23.6	 5.58	 81	     	Leo
171.4587500	 +3.8601944	 99329	BD+04  2463 	15688	4410	 55791	11 25 50.10	+03 51 36.7	 6.35	 80	     	Leo
171.6906250	 +3.0126667	 99491	BD+03  2502 	15705	4414	 55846	11 26 45.75	+03 00 45.6	 6.49	 83	     	Leo
171.7899167	-12.3568056	 99564	BD-11  3098 	15714	4416	 55874	11 27 09.58	-12 21 24.5	 5.93	 16	kap  	Crt
171.9842917	 +2.8562778	 99648	BD+03  2504 	15729	4418	 55945	11 27 56.23	+02 51 22.6	 4.95	 84	tau  	Leo
172.2673333	+39.3369444	 99787	BD+40  2433 	15751	4422	 56034	11 29 04.16	+39 20 13.0	 5.30	 57	     	UMa
172.4244167	+15.4133889	 99902	BD+16  2266 	15765	4426	 56080	11 29 41.86	+15 24 48.2	 5.74	 85	     	Leo
172.6298750	+43.1730556	 99984	BD+43  2122 	15782	4431	 56148	11 30 31.17	+43 10 23.0	 5.94	 58	     	UMa
172.5786667	 -3.0034722	 99998	BD-02  3360 	15779	4432	 56127	11 30 18.88	-03 00 12.5	 4.77	 87	e    	Leo
172.6211667	+18.4097500	100006	BD+19  2459 	15784	4433	 56146	11 30 29.08	+18 24 35.1	 5.54	 86	     	Leo
172.8512083	+69.3311111	100029	BD+70   665 	15799	4434	 56211	11 31 24.29	+69 19 52.0	 3.82	  1	lam  	Dra
172.9380833	+14.3649722	100180	BD+15  2345 	15811	4437	 56242	11 31 45.14	+14 21 53.9	 6.27	 88	     	Leo
172.9419583	-59.4420556	100261	CP-58  3692 	15818	4441	 56243	11 31 46.07	-59 26 31.4	 5.07	   	omi01	Cen
172.9533750	-59.5156389	100262	CP-58  3693 	15820	4442	 56250	11 31 48.81	-59 30 56.3	 5.12	   	omi02	Cen
173.0684167	-29.2613611	100286	CD-28  8928B	15830	4443	 56280	11 32 16.42	-29 15 40.9	 4.93	 17	     	Crt
173.0679167	-29.2611111	100287	CD-28  8928A	15831	4444	      	11 32 16.30	-29 15 40.0	 5.64	 17	     	Crt
173.2510833	-31.8575278	100407	CD-31  9083 	15845	4450	 56343	11 33 00.26	-31 51 27.1	 3.54	   	ksi  	Hya
173.5919167	 +3.0604167	100563	BD+03  2521 	15867	4455	 56445	11 34 22.06	+03 03 37.5	 5.76	 89	     	Leo
173.6770833	+16.7969167	100600	BD+17  2374 	15874	4456	 56473	11 34 42.50	+16 47 48.9	 5.95	 90	     	Leo
173.6904583	-54.2641389	100673	CP-53  4637 	15877	4460	 56480	11 34 45.71	-54 15 50.9	 4.62	   	A    	Cen
174.0109167	+69.3232500	100696	BD+70   670 	15893	4461	 56583	11 36 02.62	+69 19 23.7	 5.19	  2	     	Dra
173.8056667	-47.3725556	100733	CD-46  7199 	15886	4463	 56518	11 35 13.36	-47 22 21.2	 5.64	   	C01  	Cen
173.9815000	-47.6415278	100825	CD-46  7205 	15901	4466	 56573	11 35 55.56	-47 38 29.5	 5.26	   	C02  	Cen
173.9455417	-63.0198333	100841	CP-62  2127 	15899	4467	 56561	11 35 46.93	-63 01 11.4	 3.11	   	lam  	Cen
174.1706250	 -9.8022500	100889	BD-08  3202 	15921	4468	 56633	11 36 40.95	-09 48 08.1	 4.70	 21	the  	Crt
174.2372083	 -0.8238611	100920	BD-00  2458 	15927	4471	 56647	11 36 56.93	-00 49 25.9	 4.30	 91	ups  	Leo
174.3918750	-47.7473889	101067	CD-47  6997 	15945	4476	 56700	11 37 34.05	-47 44 50.6	 5.46	   	C03  	Cen
174.5862083	+43.6255000	101107	BD+44  2110 	15962	4477	 56770	11 38 20.69	+43 37 31.8	 5.56	 59	     	UMa
174.3164167	-75.8965278	101132	CP-75   744 	15946	4479	 56675	11 37 15.94	-75 53 47.5	 5.64	   	pi.  	Cha
174.6397500	+46.8342778	101133	BD+47  1894 	15970	4480	 56789	11 38 33.54	+46 50 03.4	 6.09	 60	     	UMa
174.6150417	 +8.1342778	101153	BD+08  2532 	15971	4483	 56779	11 38 27.61	+08 08 03.4	 5.24	  1	ome  	Vir
174.6665000	-13.2022500	101198	BD-12  3466 	15977	4488	 56802	11 38 39.96	-13 12 08.1	 5.48	 24	iot  	Crt
175.0534167	-34.7446667	101431	CD-34  7610 	16019	4494	 56922	11 40 12.82	-34 44 40.8	 4.70	   	omi  	Hya
175.1962917	+21.3528333	101484	BD+22  2391 	16030	4495	 56975	11 40 47.11	+21 21 10.2	 5.26	 92	     	Leo
175.2626250	+34.2025556	101501	BD+35  2270 	16035	4496	 56997	11 41 03.03	+34 12 09.2	 5.31	 61	     	UMa
175.3937500	+31.7459722	101606	BD+32  2179 	16051	4501	 57029	11 41 34.50	+31 44 45.5	 5.73	 62	     	UMa
175.6184583	+66.7448056	101673	BD+67   714 	16072	4504	 57111	11 42 28.43	+66 44 41.3	 5.32	  3	     	Dra
176.1906667	-18.3506111	102070	BD-17  3460 	16112	4514	 57283	11 44 45.76	-18 21 02.2	 4.71	 27	zet  	Crt
176.3208333	 +8.2581667	102124	BD+09  2545 	16118	4515	 57328	11 45 17.00	+08 15 29.4	 4.84	  2	ksi  	Vir
176.4648750	 +6.5298056	102212	BD+07  2479 	16135	4517	 57380	11 45 51.57	+06 31 47.3	 4.04	  3	nu.  	Vir
176.5130417	+47.7793333	102224	BD+48  1966 	16137	4518	 57399	11 46 03.13	+47 46 45.6	 3.69	 63	chi  	UMa
176.4023750	-66.7288333	102249	CP-66  1640 	16131	4520	 57363	11 45 36.57	-66 43 43.8	 3.63	   	lam  	Mus
176.9967917	+20.2189444	102509	BD+21  2358 	16173	4527	 57565	11 47 59.23	+20 13 08.2	 4.50	 93	     	Leo
176.9788750	 +8.2458611	102510	BD+09  2549 	16171	4528	 57562	11 47 54.93	+08 14 45.1	 5.31	  4	A01  	Vir
177.0603750	-66.8148611	102584	CP-66  1649 	16176	4530	 57581	11 48 14.49	-66 48 53.5	 4.75	   	mu.  	Mus
177.2661667	+14.5723333	102647	BD+15  2383 	16189	4534	 57632	11 49 03.88	+14 34 20.4	 2.14	 94	bet  	Leo
177.4212083	-63.7885000	102776	CP-63  1988 	16201	4537	 57669	11 49 41.09	-63 47 18.6	 4.30	   	j    	Cen
177.6720417	 +1.7653889	102870	BD+02  2489 	16215	4540	 57757	11 50 41.29	+01 45 55.4	 3.59	  5	bet  	Vir
177.7864583	-45.1734444	102964	CD-44  7614 	16226	4546	 57803	11 51 08.75	-45 10 24.4	 4.47	   	B    	Cen
178.2273333	-33.9081389	103192	CD-33  8018 	16258	4552	 57936	11 52 54.56	-33 54 29.3	 4.29	   	bet  	Hya
178.4572500	+53.6947222	103287	BD+54  1475 	16268	4554	 58001	11 53 49.74	+53 41 41.0	 2.41	 64	gam  	UMa
178.7739167	+46.4768333	103483	BD+47  1913 	16296	4560	 58112	11 55 05.74	+46 28 36.6	 6.54	 65	     	UMa
178.7631250	 +8.4439167	103484	BD+09  2560 	16294	4559	 58110	11 55 03.15	+08 26 38.1	 5.58	  6	A02  	Vir
178.7974167	+46.4700833	103498	BD+47  1914 	16298	4561	 58117	11 55 11.38	+46 28 12.3	 7.16	 65	     	UMa
178.9188750	+15.6468056	103578	BD+16  2319 	16311	4564	 58159	11 55 40.53	+15 38 48.5	 5.53	 95	o    	Leo
178.9933750	+56.5985556	103605	BD+57  1343 	16315	4566	 58181	11 55 58.41	+56 35 54.8	 5.83	 66	     	UMa
179.0040833	-17.1508056	103632	BD-16  3358 	16319	4567	 58188	11 56 00.98	-17 09 02.9	 5.17	 30	eta  	Crt
179.9070417	-78.2218056	104174	CP-77   772 	16402	4583	 58484	11 59 37.69	-78 13 18.5	 4.88	   	eps  	Cha
179.9871667	 +3.6552222	104181	BD+04  2556 	16406	4585	 58510	11 59 56.92	+03 39 18.8	 5.36	  7	b    	Vir
180.2182917	 +6.6143889	104321	BD+07  2502 	16425	4589	 58590	12 00 52.39	+06 36 51.8	 4.65	  8	pi.  	Vir
180.2132083	-19.6590000	104337	BD-18  3295 	16423	4590	 58587	12 00 51.17	-19 39 32.4	 5.28	 31	     	Crt
180.4345833	+22.0943333	104452	BD+22  2430 	16442	    	 58661	12 01 44.30	+22 05 39.6	 6.57	  1	     	Com
180.5294167	+43.0454722	104513	BD+43  2179 	16445	4594	 58684	12 02 07.06	+43 02 43.7	 5.22	 67	     	UMa
180.7570833	-63.3129444	104671	CP-62  2543 	16463	4599	 58758	12 03 01.70	-63 18 46.6	 4.32	   	the01	Cru
180.9025833	-39.0089722	104747	CD-38  7479 	16471	    	 58799	12 03 36.62	-39 00 32.3	 6.51	 89	     	Cen
181.0690833	+21.4591667	104827	BD+22  2437 	16489	4602	 58858	12 04 16.58	+21 27 33.0	 5.89	  2	     	Com
181.0801667	-63.1657222	104841	CP-62  2561 	16490	4603	 58867	12 04 19.24	-63 09 56.6	 4.72	   	the02	Cru
181.1944167	-76.5191667	104902	CP-75   777 	16497	4605	 58905	12 04 46.66	-76 31 09.0	 5.04	   	kap  	Cha
181.3027917	 +8.7328333	104979	BD+09  2583 	16512	4608	 58948	12 05 12.67	+08 43 58.2	 4.12	  9	omi  	Vir
181.7202083	-64.6136389	105211	CP-63  2145 	16551	4616	 59072	12 06 52.85	-64 36 49.1	 4.14	   	eta  	Cru
182.0613750	-48.6924722	105416	CD-47  7396 	16581	4620	 59184	12 08 14.73	-48 41 32.9	 5.34	   	E    	Cen
182.0897500	-50.7224167	105435	CD-50  6697 	16584	4621	 59196	12 08 21.54	-50 43 20.7	 2.58	   	del  	Cen
182.1031250	-24.7287778	105452	CD-24 10174 	16586	4623	 59199	12 08 24.75	-24 43 43.6	 4.02	  1	alf  	Crv
182.4220417	 +1.8983333	105639	BD+02  2517 	16608	4626	 59285	12 09 41.29	+01 53 54.0	 5.95	 10	     	Vir
182.5146250	 +5.8069722	105702	BD+06  2559 	16616	4629	 59309	12 10 03.51	+05 48 25.1	 5.72	 11	     	Vir
182.5313750	-22.6198056	105707	BD-21  3487 	16618	4630	 59316	12 10 07.53	-22 37 11.3	 3.02	  2	eps  	Crv
182.6318333	+16.8092778	105778	BD+17  2446 	16625	4632	 59352	12 10 31.64	+16 48 33.4	 6.40	  3	     	Com
182.7661667	-23.6023611	105850	BD-22  3305 	16638	4635	 59394	12 11 03.88	-23 36 08.5	 5.45	  3	     	Crv
182.9131250	-52.3684167	105937	CD-51  6455 	16651	4638	 59449	12 11 39.15	-52 22 06.3	 3.97	   	rho  	Cen
182.9633333	+25.8703611	105981	BD+26  2316 	16659	4640	 59468	12 11 51.20	+25 52 13.3	 5.66	  4	     	Com
182.9370417	+57.0544444	106002	BD+57  1359 	16658	4641	 59458	12 11 44.89	+57 03 16.0	 6.34	 68	     	UMa
183.0387500	+20.5421111	106057	BD+21  2398 	16667	4643	 59501	12 12 09.30	+20 32 31.6	 5.60	  5	     	Com
183.1959583	-70.1517778	106111	CP-69  1646 	16679	4645	 59551	12 12 47.03	-70 09 06.4	 6.05	   	S    	Mus
183.3582917	+10.2623611	106251	BD+11  2440 	16693	4650	 59608	12 13 25.99	+10 15 44.5	 5.85	 12	     	Vir
183.5113750	-45.7239167	106321	CD-45  7630 	16703	4652	 59654	12 14 02.73	-45 43 26.1	 5.31	   	D    	Cen
183.6809583	+53.4346667	106478	BD+54  1504 	16721	4654	 59708	12 14 43.43	+53 26 04.8	 6.18	  1	     	CVn
183.7865000	-58.7488889	106490	CP-58  4189 	16724	4656	 59747	12 15 08.76	-58 44 56.0	 2.79	   	del  	Cru
183.8560417	+57.0326111	106591	BD+57  1363 	16736	4660	 59774	12 15 25.45	+57 01 57.4	 3.32	 69	del  	UMa
183.9519583	-17.5419722	106625	BD-16  3424 	16740	4662	 59803	12 15 48.47	-17 32 31.1	 2.58	  4	gam  	Crv
184.0009583	+14.8991389	106661	BD+15  2436 	16747	4663	 59819	12 16 00.23	+14 53 56.9	 5.09	  6	     	Com
184.0314167	+40.6602500	106690	BD+41  2284 	16750	4666	 59831	12 16 07.54	+40 39 36.9	 5.69	  2	     	CVn
184.0856667	+23.9454167	106714	BD+24  2443 	16752	4667	 59847	12 16 20.56	+23 56 43.5	 4.93	  7	     	Com
184.3943333	-67.9606667	106849	CP-67  1931 	16764	4671	 59929	12 17 34.64	-67 57 38.4	 4.06	   	eps  	Mus
184.5872500	-79.3122778	106911	CP-78   741 	16775	4674	 60000	12 18 20.94	-79 18 44.2	 4.24	   	bet  	Cha
184.6095417	-64.0030556	106983	CP-63  2235 	16785	4679	 60009	12 18 26.29	-64 00 11.0	 4.06	   	zet  	Cru
184.6679167	 -0.7871389	107070	BD+00  2920 	16790	4681	 60030	12 18 40.30	-00 47 13.7	 5.90	 13	     	Vir
184.7492917	-55.1429722	107079	CP-54  5113 	16792	4682	 60059	12 18 59.83	-55 08 34.7	 5.01	   	F    	Cen
184.8300000	+23.0346944	107168	BD+23  2448 	16799	4685	 60087	12 19 19.20	+23 02 04.9	 6.26	  8	     	Com
184.9079167	-19.2552778	107199	BD-18  3367 	16806	    	      	12 19 37.90	-19 15 19.0	     	   	R    	Crv
184.8735833	+28.1572222	107213	BD+28  2106 	16804	4688	 60098	12 19 29.66	+28 09 26.0	 6.38	  9	     	Com
184.9766250	 -0.6667500	107259	BD+00  2926 	16813	4689	 60129	12 19 54.39	-00 40 00.3	 3.89	 15	eta  	Vir
184.9530000	+48.9841389	107274	BD+49  2130 	16814	4690	 60122	12 19 48.72	+48 59 02.9	 5.28	  3	     	CVn
184.9609583	+28.4643889	107276	BD+29  2280 	16812	    	 60123	12 19 50.63	+28 27 51.8	 6.64	 10	     	Com
185.0881250	 +3.3127222	107328	BD+04  2604 	16828	4695	 60172	12 20 21.15	+03 18 45.8	 4.97	 16	c    	Vir
185.1404583	-22.2158333	107348	BD-21  3514 	16830	4696	 60189	12 20 33.71	-22 12 57.0	 5.20	  5	zet  	Crv
185.1795417	+17.7926667	107383	BD+18  2592 	16835	4697	 60202	12 20 43.09	+17 47 33.6	 4.72	 11	     	Com
185.3408750	-60.4013611	107446	CP-59  4188 	16849	4700	 60260	12 21 21.81	-60 24 04.9	 3.59	   	eps  	Cru
185.2117917	+57.8642778	107465	BD+58  1371 	16843	4701	 60212	12 20 50.83	+57 51 51.4	 5.54	 70	     	UMa
185.5307917	-67.5220833	107566	CP-66  1747 	16857	4703	 60320	12 22 07.39	-67 31 19.5	 5.15	   	zet02	Mus
185.5501250	-68.3071944	107567	CP-67  1939 	16860	4704	 60329	12 22 12.03	-68 18 25.9	 5.73	   	zet01	Mus
185.6263333	+25.8461944	107700	BD+26  2337 	16873	4707	 60351	12 22 30.32	+25 50 46.3	 4.78	 12	     	Com
185.6345833	+25.8516667	107701	BD+26  2337 	     	    	      	12 22 32.30	+25 51 06.0	 8.60	 12	     	Com
185.6339167	 +5.3055833	107705	BD+06  2599 	16871	4708	 60353	12 22 32.14	+05 18 20.1	 6.46	 17	     	Vir
185.8400000	-24.8406111	107815	CD-24 10314 	16887	4711	 60425	12 23 21.60	-24 50 26.2	 5.66	  6	     	Crv
185.8977083	-35.4126667	107832	CD-34  8117 	16892	4712	 60449	12 23 35.45	-35 24 45.6	 5.32	   	x01  	Cen
185.9461667	+42.5427222	107904	BD+43  2218 	16899	4715	 60467	12 23 47.08	+42 32 33.8	 6.03	  4	     	CVn
186.0061667	+51.5622222	107950	BD+52  1626 	16906	4716	 60485	12 24 01.48	+51 33 44.0	 4.76	  5	     	CVn
186.0772500	+26.0986111	107966	BD+26  2344 	16910	4717	 60514	12 24 18.54	+26 05 55.0	 5.17	 13	     	Com
186.3406667	-35.1863889	108114	CD-34  8146 	16938	4724	 60610	12 25 21.76	-35 11 11.0	 5.71	   	x02  	Cen
186.2634167	+56.7778611	108135	BD+57  1373 	16934	4726	 60584	12 25 03.22	+56 46 40.3	 5.82	 71	     	UMa
